"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 09, 2021","565","570","570","555","30.95M","0.89%"
"Mar 08, 2021","560","570","580","545","37.91M","-0.88%"
"Mar 05, 2021","565","570","580","560","38.36M","-2.59%"
"Mar 04, 2021","580","595","595","570","25.35M","-1.69%"
"Mar 03, 2021","590","585","595","580","63.87M","1.72%"
"Mar 02, 2021","580","595","600","575","82.19M","-0.85%"
"Mar 01, 2021","585","550","595","550","215.11M","6.36%"
"Feb 26, 2021","550","565","570","545","67.84M","-4.35%"
"Feb 25, 2021","575","560","575","555","88.84M","2.68%"
"Feb 24, 2021","560","540","560","530","64.64M","3.70%"
"Feb 23, 2021","540","560","560","535","40.24M","-2.70%"
"Feb 22, 2021","555","560","570","550","63.58M","0.00%"
"Feb 19, 2021","555","550","560","540","94.87M","1.83%"
"Feb 18, 2021","545","545","560","540","98.90M","0.00%"
"Feb 17, 2021","545","550","550","530","96.86M","-0.91%"
"Feb 16, 2021","550","555","560","545","81.73M","0.00%"
"Feb 15, 2021","550","525","550","525","121.52M","4.76%"
"Feb 11, 2021","525","535","540","515","48.69M","-1.87%"
"Feb 10, 2021","535","530","540","515","97.51M","0.94%"
"Feb 09, 2021","530","540","540","520","103.25M","0.00%"
"Feb 08, 2021","530","515","530","510","114.42M","4.95%"
"Feb 05, 2021","505","500","510","498","42.07M","1.00%"
"Feb 04, 2021","500","505","510","496","40.91M","0.00%"
"Feb 03, 2021","500","505","520","498","87.03M","0.81%"
"Feb 02, 2021","496","530","535","494","115.49M","-5.52%"
"Feb 01, 2021","525","482","530","470","202.71M","8.92%"
"Jan 29, 2021","482","488","492","468","123.54M","1.26%"
"Jan 28, 2021","476","462","486","462","142.04M","-2.06%"
"Jan 27, 2021","486","486","492","464","157.44M","0.00%"
"Jan 26, 2021","486","515","520","480","155.96M","-5.63%"
"Jan 25, 2021","515","515","530","505","88.06M","0.00%"
"Jan 22, 2021","515","525","530","510","129.88M","-2.83%"
"Jan 21, 2021","530","535","545","525","62.93M","-0.93%"
"Jan 20, 2021","535","525","540","520","93.12M","1.90%"
"Jan 19, 2021","525","540","550","520","113.64M","-2.78%"
"Jan 18, 2021","540","555","560","535","70.62M","-2.70%"
"Jan 15, 2021","555","565","570","550","75.69M","-1.77%"
"Jan 14, 2021","565","595","595","565","67.09M","-4.24%"
"Jan 13, 2021","590","575","595","560","220.94M","3.51%"
"Jan 12, 2021","570","550","575","530","222.06M","3.64%"
"Jan 11, 2021","550","510","555","510","194.55M","6.80%"
"Jan 08, 2021","515","515","520","510","82.12M","0.00%"
"Jan 07, 2021","515","510","520","505","45.74M","0.98%"
"Jan 06, 2021","510","525","530","505","96.46M","-2.86%"
"Jan 05, 2021","525","510","540","510","79.49M","0.96%"
"Jan 04, 2021","520","515","525","496","95.33M","1.96%"
"Dec 30, 2020","510","515","520","500","135.90M","-0.97%"
"Dec 29, 2020","515","535","550","510","109.72M","-3.74%"
"Dec 28, 2020","535","530","545","520","57.17M","0.94%"
"Dec 23, 2020","530","545","560","515","94.53M","-2.75%"
"Dec 22, 2020","545","570","575","535","115.64M","-5.22%"
"Dec 21, 2020","575","580","590","560","110.67M","0.00%"
"Dec 18, 2020","575","555","585","550","255.75M","4.55%"
"Dec 17, 2020","550","535","555","525","254.57M","2.80%"
"Dec 16, 2020","535","530","540","525","126.10M","1.90%"
"Dec 15, 2020","525","535","540","515","103.16M","-1.87%"
"Dec 14, 2020","535","550","555","530","88.98M","-2.73%"
"Dec 11, 2020","550","550","555","540","103.93M","0.92%"
"Dec 10, 2020","545","515","545","515","186.76M","6.86%"
"Dec 08, 2020","510","530","530","510","78.81M","-2.86%"
"Dec 07, 2020","525","540","545","525","51.11M","0.00%"
"Dec 04, 2020","525","535","535","510","95.69M","-1.87%"
"Dec 03, 2020","535","555","560","530","105.30M","-2.73%"
"Dec 02, 2020","550","515","550","510","167.38M","6.80%"
"Dec 01, 2020","515","505","515","490","123.17M","3.00%"
"Nov 30, 2020","500","540","555","486","281.03M","-3.85%"
"Nov 27, 2020","520","530","535","515","60.64M","-0.95%"
"Nov 26, 2020","525","505","525","500","106.07M","3.96%"
"Nov 25, 2020","505","535","540","500","122.91M","-4.72%"
"Nov 24, 2020","530","525","530","515","83.44M","2.91%"
"Nov 23, 2020","515","505","515","500","76.16M","3.00%"
"Nov 20, 2020","500","510","520","496","94.83M","-0.99%"
"Nov 19, 2020","505","494","510","488","158.15M","2.23%"
"Nov 18, 2020","494","486","498","486","125.55M","1.65%"
"Nov 17, 2020","486","488","496","482","110.54M","0.83%"
"Nov 16, 2020","482","460","484","460","174.09M","5.70%"
"Nov 13, 2020","456","442","464","440","71.20M","2.70%"
"Nov 12, 2020","444","454","456","442","70.75M","-2.20%"
"Nov 11, 2020","454","468","470","454","393.04M","-2.16%"
"Nov 10, 2020","464","446","474","444","520.08M","7.91%"
"Nov 09, 2020","430","430","434","424","135.89M","1.90%"
"Nov 06, 2020","422","416","426","416","76.65M","1.44%"
"Nov 05, 2020","416","420","422","412","92.87M","0.97%"
"Nov 04, 2020","412","426","430","412","108.62M","-2.37%"
"Nov 03, 2020","422","418","424","418","62.33M","0.96%"
"Nov 02, 2020","418","412","418","404","74.04M","0.97%"
"Oct 27, 2020","414","414","418","412","76.75M","-0.48%"
"Oct 26, 2020","416","420","422","414","173.29M","0.00%"
"Oct 23, 2020","416","406","424","404","258.06M","2.97%"
"Oct 22, 2020","404","400","408","392","146.98M","1.00%"
"Oct 21, 2020","400","402","406","398","66.10M","-0.50%"
"Oct 20, 2020","402","406","408","398","55.06M","-0.99%"
"Oct 19, 2020","406","396","410","396","176.41M","3.57%"
"Oct 16, 2020","392","390","398","390","81.72M","-0.51%"
"Oct 15, 2020","394","400","402","394","51.73M","-1.50%"
"Oct 14, 2020","400","400","404","394","80.32M","0.00%"
"Oct 13, 2020","400","400","406","386","146.52M","1.01%"
"Oct 12, 2020","396","390","402","388","187.86M","3.66%"
"Oct 09, 2020","382","372","386","368","198.58M","3.24%"
"Oct 08, 2020","370","360","372","358","165.08M","4.52%"
"Oct 07, 2020","354","352","362","350","77.95M","0.57%"
"Oct 06, 2020","352","350","356","348","63.69M","2.33%"
"Oct 05, 2020","344","350","352","342","49.33M","-0.58%"
"Oct 02, 2020","346","354","356","344","60.50M","-2.26%"
"Oct 01, 2020","354","354","358","348","53.62M","0.00%"
"Sep 30, 2020","354","354","356","348","37.73M","0.00%"
"Sep 29, 2020","354","360","364","350","39.62M","-0.56%"
"Sep 28, 2020","356","350","358","346","112.28M","2.89%"
