Date,Open,High,Low,Close,Adj Close,Volume
2021-02-19,550.000000,560.000000,540.000000,555.000000,555.000000,94869500
2021-02-22,560.000000,570.000000,550.000000,555.000000,555.000000,63575300
2021-02-23,560.000000,560.000000,535.000000,540.000000,540.000000,40237400
2021-02-24,540.000000,560.000000,530.000000,560.000000,560.000000,64644300
2021-02-25,560.000000,575.000000,555.000000,575.000000,575.000000,88835800
2021-02-26,565.000000,570.000000,545.000000,550.000000,550.000000,67840600
2021-03-01,550.000000,595.000000,550.000000,585.000000,585.000000,215113700
2021-03-02,595.000000,600.000000,575.000000,580.000000,580.000000,82192800
2021-03-03,585.000000,595.000000,580.000000,590.000000,590.000000,63866600
2021-03-04,595.000000,595.000000,570.000000,580.000000,580.000000,25351200
2021-03-05,570.000000,580.000000,560.000000,565.000000,565.000000,38363400
2021-03-08,570.000000,580.000000,545.000000,560.000000,560.000000,37912600
2021-03-09,570.000000,570.000000,555.000000,565.000000,565.000000,30947300
2021-03-10,565.000000,585.000000,560.000000,585.000000,585.000000,79928900
2021-03-12,590.000000,615.000000,585.000000,600.000000,600.000000,109353000
2021-03-15,610.000000,615.000000,590.000000,595.000000,595.000000,63704800
2021-03-16,595.000000,600.000000,580.000000,590.000000,590.000000,59656700
2021-03-17,590.000000,595.000000,565.000000,570.000000,570.000000,56067800
2021-03-18,575.000000,585.000000,570.000000,580.000000,580.000000,48762400
2021-03-19,580.000000,585.000000,565.000000,565.000000,565.000000,21979300
2021-03-22,565.000000,575.000000,555.000000,560.000000,560.000000,37287700
2021-03-23,575.000000,575.000000,555.000000,555.000000,555.000000,26152000
2021-03-24,550.000000,555.000000,540.000000,545.000000,545.000000,42013500
2021-03-25,550.000000,555.000000,525.000000,540.000000,540.000000,45264100
2021-03-26,550.000000,570.000000,535.000000,565.000000,565.000000,54246300
2021-03-29,570.000000,570.000000,550.000000,550.000000,550.000000,53222100
2021-03-30,550.000000,550.000000,540.000000,545.000000,545.000000,29556000
2021-03-31,540.000000,550.000000,530.000000,540.000000,540.000000,101340000
2021-04-01,540.000000,550.000000,530.000000,540.000000,540.000000,35030200
2021-04-05,540.000000,545.000000,530.000000,535.000000,535.000000,18633100
2021-04-06,535.000000,550.000000,525.000000,545.000000,545.000000,33794500
2021-04-07,540.000000,550.000000,535.000000,545.000000,545.000000,44532500
2021-04-08,545.000000,555.000000,535.000000,540.000000,540.000000,39330500
2021-04-09,545.000000,545.000000,535.000000,535.000000,535.000000,27075800
2021-04-12,540.000000,540.000000,498.000000,498.000000,498.000000,116431200
2021-04-13,492.000000,500.000000,484.000000,494.000000,494.000000,124107800
2021-04-14,496.000000,520.000000,496.000000,515.000000,515.000000,54719900
2021-04-15,520.000000,520.000000,505.000000,510.000000,510.000000,24747100
2021-04-16,510.000000,515.000000,500.000000,505.000000,505.000000,46391300
2021-04-19,505.000000,510.000000,500.000000,505.000000,505.000000,35856400
2021-04-20,510.000000,515.000000,500.000000,510.000000,510.000000,54036900
2021-04-21,505.000000,510.000000,500.000000,505.000000,505.000000,20074200
2021-04-22,510.000000,515.000000,500.000000,505.000000,505.000000,32488100
2021-04-23,505.000000,520.000000,500.000000,515.000000,515.000000,50961200
2021-04-26,525.000000,530.000000,515.000000,525.000000,525.000000,53181900
2021-04-27,525.000000,540.000000,515.000000,535.000000,535.000000,61999400
2021-04-28,535.000000,540.000000,525.000000,540.000000,540.000000,32836400
2021-04-29,540.000000,545.000000,530.000000,535.000000,535.000000,8102100
2021-04-30,535.000000,540.000000,520.000000,530.000000,530.000000,17169600
2021-05-03,530.000000,540.000000,525.000000,540.000000,540.000000,22850700
2021-05-04,540.000000,540.000000,530.000000,535.000000,535.000000,15522800
2021-05-05,535.000000,535.000000,520.000000,520.000000,520.000000,22569100
2021-05-06,520.000000,525.000000,505.000000,505.000000,505.000000,58343700
2021-05-07,510.000000,515.000000,505.000000,510.000000,510.000000,13710700
2021-05-10,515.000000,525.000000,510.000000,520.000000,520.000000,23057700
2021-05-11,520.000000,525.000000,510.000000,520.000000,520.000000,22483900
2021-05-17,520.000000,525.000000,496.000000,500.000000,500.000000,51189100
2021-05-18,500.000000,510.000000,496.000000,510.000000,510.000000,28168800
2021-05-19,505.000000,510.000000,498.000000,498.000000,498.000000,28577700
