Date		Price	Open	High	Low	Vol.	Change %
Feb-04	2021	693	698	717	688	29.99M	-0.70%
Mar-04	2021	867	843	867	828	43.62M	1.71%
May-04	2021	925	940	945	925	9.71M	-2.55%
Jun-04	2021	910	935	945	905	33.41M	-1.66%
Aug-04	2021	765	780	785	760	25.07M	-1.29%
Oct-04	2021	920	830	920	830	144.58M	11.52%
Nov-04	2021	950	975	1,005	940	78.20M	-2.56%
Jan-05	2021	809	804	828	795	40.20M	0.60%
Feb-05	2021	722	703	732	698	51.97M	4.20%
Mar-05	2021	843	862	862	833	23.88M	-2.79%
Apr-05	2021	877	896	906	862	24.46M	-2.16%
May-05	2021	916	925	940	906	14.77M	-1.05%
Jul-05	2021	825	840	840	820	15.68M	-0.60%
Aug-05	2021	770	765	775	750	17.53M	0.65%
Oct-05	2021	905	935	935	895	85.00M	-1.63%
Nov-05	2021	930	960	960	925	27.74M	-2.11%
Jan-06	2021	775	809	833	761	98.31M	-4.19%
Apr-06	2021	940	862	950	862	46.32M	7.18%
May-06	2021	901	921	925	901	11.14M	-1.59%
Jul-06	2021	845	825	855	810	23.53M	2.42%
Aug-06	2021	755	770	775	745	42.25M	-1.95%
Sep-06	2021	875	855	885	830	71.93M	3.55%
Oct-06	2021	915	910	925	905	63.64M	1.10%
Dec-06	2021	830	860	875	830	42.08M	-2.92%
Jan-07	2021	775	785	804	765	78.41M	0.00%
Apr-07	2021	945	945	964	916	25.81M	0.51%
May-07	2021	896	901	930	896	18.32M	-0.54%
Jun-07	2021	905	915	920	905	5.96M	-0.55%
Jul-07	2021	840	850	860	840	25.12M	-0.59%
Sep-07	2021	890	875	900	860	51.82M	1.71%
Oct-07	2021	910	925	930	890	52.06M	-0.55%
Dec-07	2021	880	845	880	840	33.16M	6.02%
Jan-08	2021	785	780	795	775	45.41M	1.25%
Feb-08	2021	780	732	795	727	94.54M	8.05%
Mar-08	2021	848	853	872	843	29.63M	0.58%
Apr-08	2021	950	945	954	935	9.52M	0.51%
Jun-08	2021	880	905	915	880	45.27M	-2.76%
Jul-08	2021	820	840	860	810	33.14M	-2.38%
Sep-08	2021	865	885	900	860	37.31M	-2.81%
Oct-08	2021	920	905	930	900	46.70M	1.10%
Nov-08	2021	935	935	945	925	23.69M	0.54%
Dec-08	2021	875	885	890	865	26.29M	-0.57%
Feb-09	2021	770	790	795	756	59.66M	-1.24%
Mar-09	2021	858	848	882	838	59.59M	1.14%
Apr-09	2021	930	959	959	925	28.42M	-2.04%
Jun-09	2021	870	875	890	865	33.06M	-1.14%
Jul-09	2021	825	815	840	810	25.41M	0.61%
Aug-09	2021	745	755	780	740	58.39M	-1.32%
Sep-09	2021	885	870	885	860	35.55M	2.31%
Nov-09	2021	965	940	980	935	32.17M	3.21%
Dec-09	2021	880	885	895	865	13.17M	0.57%
Feb-10	2021	785	770	795	756	31.02M	1.89%
Mar-10	2021	964	858	979	858	184.02M	12.43%
May-10	2021	930	896	940	896	24.76M	3.78%
Jun-10	2021	855	865	875	845	33.48M	-1.72%
Aug-10	2021	745	745	755	735	15.73M	0.00%
Sep-10	2021	880	875	885	865	24.75M	-0.56%
Nov-10	2021	955	965	975	950	37.63M	-1.04%
Dec-10	2021	895	880	910	870	33.57M	1.70%
Jan-11	2021	804	785	814	780	54.22M	2.47%
Feb-11	2021	780	785	795	775	11.84M	-0.62%
May-11	2021	901	930	930	896	18.86M	-3.13%
Jun-11	2021	855	855	865	840	48.25M	0.00%
