"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 20, 2020","18.878","18.785","18.785","18.785","4.22K","0.05%"
"Feb 19, 2020","18.869","18.725","18.865","18.725","0.03K","0.88%"
"Feb 18, 2020","18.704","18.611","18.611","18.611","3.16K","5.15%"
"Feb 17, 2020","17.788","17.712","17.863","17.703","-","0.40%"
"Feb 16, 2020","17.718","17.773","17.785","17.670","-","-3.10%"
"Feb 14, 2020","18.285","18.192","18.192","18.192","1.38K","0.61%"
"Feb 13, 2020","18.174","18.081","18.081","18.081","2.00K","0.68%"
"Feb 12, 2020","18.051","17.958","17.958","17.958","1.84K","-0.55%"
"Feb 11, 2020","18.150","18.057","18.057","18.057","2.71K","-1.06%"
"Feb 10, 2020","18.344","18.251","18.251","18.251","2.27K","3.48%"
"Feb 09, 2020","17.727","17.683","17.762","17.670","-","-2.88%"
"Feb 07, 2020","18.252","18.159","18.159","18.159","2.85K","-0.71%"
"Feb 06, 2020","18.382","18.289","18.289","18.289","1.01K","1.19%"
"Feb 05, 2020","18.165","18.074","18.074","18.074","0.82K","0.30%"
"Feb 04, 2020","18.111","18.025","18.025","18.025","0.81K","-0.59%"
"Feb 03, 2020","18.218","18.580","18.580","18.115","0.00K","0.84%"
"Feb 02, 2020","18.067","18.115","18.117","18.020","-","-2.65%"
"Jan 31, 2020","18.558","18.472","18.472","18.472","1.05K","0.09%"
"Jan 30, 2020","18.542","18.456","18.456","18.456","1.01K","2.78%"
"Jan 29, 2020","18.041","17.955","17.955","17.955","0.69K","0.16%"
"Jan 28, 2020","18.012","18.070","18.070","18.070","0.00K","-3.21%"
"Jan 27, 2020","18.610","18.524","18.524","18.524","0.65K","2.15%"
"Jan 26, 2020","18.218","18.115","18.370","18.115","-","-2.43%"
"Jan 24, 2020","18.672","18.586","18.586","18.586","1.03K","1.54%"
"Jan 23, 2020","18.389","18.303","18.303","18.303","0.40K","0.01%"
"Jan 22, 2020","18.388","18.302","18.302","18.302","1.50K","0.10%"
"Jan 21, 2020","18.369","18.283","18.283","18.283","0.81K","1.64%"
"Jan 20, 2020","18.073","18.045","18.133","18.003","-","0.17%"
"Jan 19, 2020","18.043","18.032","18.060","18.027","-","-3.20%"
"Jan 17, 2020","18.640","18.554","18.554","18.554","0.59K","0.72%"
"Jan 16, 2020","18.507","18.421","18.421","18.421","0.22K","-0.26%"
"Jan 15, 2020","18.556","18.470","18.470","18.470","1.01K","1.34%"
"Jan 14, 2020","18.310","18.224","18.224","18.224","2.36K","-1.41%"
"Jan 13, 2020","18.572","18.486","18.486","18.486","1.72K","2.73%"
"Jan 12, 2020","18.078","18.135","18.150","18.052","-","-3.22%"
"Jan 10, 2020","18.679","18.593","18.593","18.593","2.86K","0.93%"
