"Date","Close","Open","High","Low","Volume","Change %"
"2019-May-30","1341.40","1332.40","1332.40","1332.40","0.33K","1.12%"
"2019-May-29","1326.50","1327.80","1327.80","1327.80","0.00K","0.24%"
"2019-May-28","1323.30","1322.60","1322.60","1322.60","0.12K","2.98%"
"2019-May-27","1284.95","1284.25","1286.85","1283.25","-","0.06%"
"2019-May-26","1284.15","1284.20","1285.15","1283.65","-","-3.45%"
"2019-May-24","1330.10","1329.20","1329.20","1329.20","0.00K","-0.13%"
"2019-May-23","1331.80","1328.40","1328.40","1328.40","0.00K","0.79%"
"2019-May-22","1321.30","1321.30","1321.30","1321.30","0.02K","0.09%"
"2019-May-21","1320.10","1320.10","1320.10","1320.10","0.10K","-0.31%"
"2019-May-20","1324.20","1324.20","1324.20","1324.20","0.08K","0.13%"
"2019-May-17","1322.50","1322.50","1322.50","1322.50","0.21K","-0.80%"
"2019-May-16","1333.10","1333.10","1333.10","1333.10","0.11K","-0.85%"
"2019-May-15","1344.50","1344.50","1344.50","1344.50","0.06K","0.08%"
"2019-May-14","1343.40","1343.40","1343.40","1343.40","0.20K","-0.50%"
"2019-May-13","1350.20","1350.20","1350.20","1350.20","0.12K","0.97%"
"2019-May-10","1337.20","1337.20","1337.20","1337.20","0.05K","0.16%"
"2019-May-09","1335.10","1335.10","1335.10","1335.10","0.04K","0.28%"
"2019-May-08","1331.40","1338.00","1338.00","1338.00","0.05K","-0.33%"
"2019-May-07","1335.80","1335.80","1335.80","1335.80","0.12K","0.13%"
"2019-May-06","1334.00","1334.00","1334.00","1334.00","0.01K","0.17%"
"2019-May-03","1331.70","1331.70","1331.70","1331.70","0.02K","0.72%"
"2019-May-02","1322.20","1323.00","1323.00","1323.00","0.00K","-0.90%"
"2019-May-01","1334.20","1334.20","1334.20","1334.20","0.26K","-0.11%"
"2019-Apr-30","1335.70","1335.70","1335.70","1335.70","0.21K","0.31%"
"2019-Apr-29","1331.60","1331.60","1331.60","1331.60","0.14K","-0.57%"
"2019-Apr-26","1339.20","1339.20","1339.20","1339.20","0.38K","0.68%"
"2019-Apr-25","1330.20","1330.20","1330.20","1330.20","0.00K","0.02%"
"2019-Apr-24","1329.90","1329.90","1329.90","1329.90","0.15K","0.46%"
"2019-Apr-23","1323.80","1323.80","1323.80","1323.80","0.01K","-0.35%"
"2019-Apr-22","1328.50","1328.50","1328.50","1328.50","0.00K","3.96%"
"2019-Apr-19","1277.90","1277.90","1277.90","1277.90","-","-3.69%"
"2019-Apr-18","1326.90","1326.90","1326.90","1326.90","0.08K","-0.05%"
"2019-Apr-17","1327.60","1327.60","1327.60","1327.60","0.06K","-0.04%"
