"Date","Close","Open","High","Low","Volume","Change %"
"2020-Feb-18","57.75","57.35","57.83","56.30","249.20K","0.14%"
"2020-Feb-17","57.67","57.29","57.70","56.83","115.34K","0.61%"
"2020-Feb-14","57.32","56.41","57.53","56.15","258.14K","1.74%"
"2020-Feb-13","56.34","55.75","56.83","54.96","325.51K","0.99%"
"2020-Feb-12","55.79","54.41","56.36","54.39","305.45K","3.30%"
"2020-Feb-11","54.01","53.62","54.69","53.60","272.81K","1.39%"
"2020-Feb-10","53.27","54.20","54.71","53.11","280.18K","-2.20%"
"2020-Feb-07","54.47","55.14","55.40","54.21","270.80K","-0.84%"
"2020-Feb-06","54.93","55.56","56.58","54.25","379.87K","-0.63%"
"2020-Feb-05","55.28","54.05","56.46","54.05","412.27K","2.45%"
"2020-Feb-04","53.96","54.33","55.65","53.69","409.86K","-0.90%"
"2020-Feb-03","54.45","56.16","56.77","54.08","477.22K","-6.38%"
"2020-Jan-31","58.16","59.30","59.45","57.94","19.60K","-0.22%"
"2020-Jan-30","58.29","59.60","59.65","57.71","104.27K","-2.54%"
"2020-Jan-29","59.81","59.86","60.62","59.26","142.68K","0.50%"
"2020-Jan-28","59.51","59.03","60.12","58.50","248.95K","0.32%"
"2020-Jan-27","59.32","60.23","60.49","58.50","259.77K","-2.26%"
"2020-Jan-24","60.69","62.01","62.46","60.25","257.95K","-2.18%"
"2020-Jan-23","62.04","62.68","62.69","61.25","361.91K","-1.85%"
"2020-Jan-22","63.21","64.57","64.58","62.62","273.30K","-2.14%"
"2020-Jan-21","64.59","65.26","65.35","64.06","248.56K","-0.94%"
"2020-Jan-20","65.20","65.98","66.00","64.92","154.79K","0.54%"
"2020-Jan-17","64.85","64.69","65.60","64.48","238.64K","0.36%"
"2020-Jan-16","64.62","64.26","64.97","63.90","220.17K","0.97%"
"2020-Jan-15","64.00","64.44","64.60","63.55","229.53K","-0.76%"
"2020-Jan-14","64.49","64.29","65.05","63.92","270.50K","0.45%"
"2020-Jan-13","64.20","65.13","65.27","63.92","262.47K","-1.20%"
"2020-Jan-10","64.98","65.29","65.66","64.86","272.17K","-0.60%"
"2020-Jan-09","65.37","66.00","66.10","64.56","364.45K","-0.11%"
"2020-Jan-08","65.44","71.22","71.75","64.94","560.89K","-4.15%"
"2020-Jan-07","68.27","68.63","68.75","67.65","284.92K","-0.93%"
"2020-Jan-06","68.91","69.35","70.74","68.21","341.14K","0.45%"
"2020-Jan-03","68.60","66.28","69.50","66.22","479.70K","3.55%"
"2020-Jan-02","66.25","66.41","66.58","65.72","205.69K","0.38%"
"2019-Dec-31","66.00","66.65","66.93","65.63","171.01K","-3.57%"
"2019-Dec-30","68.44","68.20","68.99","68.16","29.42K","0.41%"
"2019-Dec-27","68.16","67.91","68.33","67.57","112.22K","0.35%"
"2019-Dec-26","67.92","67.27","67.99","67.22","69.82K","1.07%"
"2019-Dec-24","67.20","66.44","67.26","66.36","106.43K","1.22%"
"2019-Dec-23","66.39","66.15","66.62","65.81","131.42K","0.38%"
"2019-Dec-20","66.14","66.56","66.72","65.70","217.98K","-0.60%"
"2019-Dec-19","66.54","66.19","66.78","66.03","249.54K","0.56%"
"2019-Dec-18","66.17","65.84","66.43","65.56","262.34K","0.11%"
"2019-Dec-17","66.10","65.31","66.24","65.12","245.83K","1.16%"
"2019-Dec-16","65.34","65.05","65.66","64.88","186.09K","0.18%"
"2019-Dec-13","65.22","64.56","65.79","64.50","232.75K","1.59%"
"2019-Dec-12","64.20","63.90","64.85","63.87","238.31K","0.75%"
"2019-Dec-11","63.72","64.00","64.26","63.01","250.14K","-0.96%"
"2019-Dec-10","64.34","64.03","64.69","63.78","235.19K","0.14%"
"2019-Dec-09","64.25","64.29","64.50","63.61","239.77K","-0.22%"
"2019-Dec-06","64.39","63.41","64.88","62.83","314.60K","1.58%"
"2019-Dec-05","63.39","62.97","63.91","62.75","294.84K","0.62%"
"2019-Dec-04","63.00","61.08","63.51","61.00","319.04K","3.58%"
"2019-Dec-03","60.82","61.05","61.58","60.30","248.55K","-0.16%"
"2019-Dec-02","60.92","60.73","62.09","60.72","297.87K","-2.42%"
"2019-Nov-29","62.43","63.77","63.86","62.36","19.65K","-2.25%"
"2019-Nov-28","63.87","63.91","64.00","63.19","96.08K","-0.30%"
"2019-Nov-27","64.06","64.02","64.60","63.51","125.47K","-0.33%"
"2019-Nov-26","64.27","63.70","64.32","63.44","181.10K","0.97%"
"2019-Nov-25","63.65","63.60","63.80","62.97","212.05K","0.41%"
"2019-Nov-22","63.39","63.62","64.27","62.98","228.74K","-0.91%"
"2019-Nov-21","63.97","62.22","64.03","61.92","318.49K","2.52%"
"2019-Nov-20","62.40","60.94","62.80","60.30","343.31K","2.45%"
"2019-Nov-19","60.91","62.28","62.57","60.70","296.80K","-2.45%"
"2019-Nov-18","62.44","63.36","63.57","61.94","228.25K","-1.36%"
"2019-Nov-15","63.30","62.47","63.65","61.70","255.68K","1.64%"
"2019-Nov-14","62.28","62.61","63.21","62.15","234.78K","-0.14%"
"2019-Nov-13","62.37","61.85","62.74","61.22","273.03K","0.50%"
"2019-Nov-12","62.06","62.11","62.85","61.82","238.17K","-0.19%"
"2019-Nov-11","62.18","62.60","62.76","61.57","213.34K","-0.53%"
"2019-Nov-08","62.51","62.29","62.70","60.66","287.67K","0.35%"
"2019-Nov-07","62.29","61.73","62.89","61.65","261.07K","0.89%"
"2019-Nov-06","61.74","62.78","63.32","61.59","275.94K","-1.94%"
"2019-Nov-05","62.96","62.04","63.19","61.85","231.67K","1.34%"
"2019-Nov-04","62.13","61.80","62.78","61.28","235.38K","0.71%"
"2019-Nov-01","61.69","59.45","61.82","59.40","236.09K","2.42%"
"2019-Oct-31","60.23","60.57","61.13","60.07","13.90K","-0.63%"
"2019-Oct-30","60.61","61.60","61.93","60.45","105.87K","-1.59%"
"2019-Oct-29","61.59","61.61","61.98","60.66","136.93K","0.03%"
"2019-Oct-28","61.57","62.04","62.34","61.19","167.86K","-0.73%"
"2019-Oct-25","62.02","61.50","62.11","60.93","204.45K","0.57%"
"2019-Oct-24","61.67","60.99","61.90","60.64","215.54K","0.82%"
"2019-Oct-23","61.17","59.48","61.30","58.85","313.23K","2.46%"
"2019-Oct-22","59.70","59.05","60.26","58.75","260.60K","1.26%"
