"Date","Close","Open","High","Low","Change %"
"2021-Aug-19","1779.25","1788.05","1792.56","1774.20","-0.47%"
"2021-Aug-18","1787.59","1786.21","1794.31","1777.31","0.09%"
"2021-Aug-17","1785.96","1787.51","1795.77","1780.28","-0.03%"
"2021-Aug-16","1786.57","1778.44","1789.51","1770.38","0.42%"
"2021-Aug-13","1779.15","1752.72","1780.53","1751.27","1.51%"
"2021-Aug-12","1752.75","1751.66","1758.62","1741.29","0.07%"
"2021-Aug-11","1751.56","1729.01","1754.63","1723.54","1.32%"
"2021-Aug-10","1728.71","1729.74","1738.49","1717.17","-0.04%"
"2021-Aug-09","1729.46","1763.34","1764.65","1684.77","-1.89%"
"2021-Aug-06","1762.69","1804.28","1804.93","1758.33","-2.29%"
"2021-Aug-05","1804.07","1811.69","1815.45","1797.74","-0.40%"
"2021-Aug-04","1811.33","1810.60","1832.10","1806.54","0.08%"
"2021-Aug-03","1809.94","1813.64","1815.18","1806.73","-0.16%"
"2021-Aug-02","1812.84","1814.34","1819.94","1805.12","-0.04%"
"2021-Jul-30","1813.58","1828.21","1831.63","1809.48","-0.79%"
"2021-Jul-29","1827.95","1807.15","1833.05","1806.29","1.19%"
"2021-Jul-28","1806.52","1799.00","1809.90","1792.60","0.43%"
"2021-Jul-27","1798.82","1797.53","1805.60","1792.83","0.09%"
"2021-Jul-26","1797.27","1802.65","1811.97","1795.68","-0.23%"
"2021-Jul-23","1801.34","1806.95","1810.56","1790.45","-0.29%"
"2021-Jul-22","1806.56","1803.58","1808.34","1792.11","0.18%"
"2021-Jul-21","1803.31","1810.32","1814.02","1794.18","-0.37%"
"2021-Jul-20","1810.03","1812.61","1825.27","1805.06","-0.13%"
"2021-Jul-19","1812.34","1811.65","1817.56","1794.66","0.08%"
"2021-Jul-16","1810.89","1829.45","1832.20","1808.65","-1.00%"
"2021-Jul-15","1829.19","1827.35","1833.99","1820.07","0.12%"
"2021-Jul-14","1827.06","1807.72","1830.32","1804.21","1.07%"
"2021-Jul-13","1807.69","1806.17","1817.51","1798.54","0.09%"
"2021-Jul-12","1806.07","1807.94","1811.04","1791.21","-0.11%"
"2021-Jul-09","1807.98","1802.89","1812.71","1796.09","0.30%"
"2021-Jul-08","1802.56","1803.67","1818.70","1794.28","-0.05%"
"2021-Jul-07","1803.41","1796.96","1810.13","1793.64","0.37%"
"2021-Jul-06","1796.69","1791.88","1815.34","1789.91","0.28%"
"2021-Jul-05","1791.61","1787.69","1795.69","1784.09","0.27%"
"2021-Jul-02","1786.79","1776.83","1795.40","1773.73","0.57%"
"2021-Jul-01","1776.62","1770.06","1783.07","1765.47","0.38%"
"2021-Jun-30","1769.80","1761.35","1774.72","1752.78","0.49%"
"2021-Jun-29","1761.09","1778.44","1779.24","1750.11","-0.96%"
"2021-Jun-28","1778.18","1781.24","1785.90","1770.69","-0.12%"
"2021-Jun-25","1780.34","1775.46","1790.60","1773.27","0.29%"
"2021-Jun-24","1775.18","1779.01","1788.56","1772.67","-0.20%"
"2021-Jun-23","1778.73","1778.80","1795.18","1773.13","0.01%"
"2021-Jun-22","1778.52","1783.23","1790.42","1771.99","-0.25%"
"2021-Jun-21","1782.95","1764.44","1786.75","1764.44","1.11%"
"2021-Jun-18","1763.34","1772.73","1797.24","1761.04","-0.56%"
"2021-Jun-17","1773.31","1812.18","1825.58","1766.88","-2.13%"
"2021-Jun-16","1811.95","1858.96","1862.43","1804.19","-2.51%"
"2021-Jun-15","1858.69","1866.26","1869.67","1851.28","-0.39%"
"2021-Jun-14","1865.99","1874.59","1878.21","1844.57","-0.57%"
"2021-Jun-11","1876.64","1898.42","1903.30","1874.07","-1.10%"
"2021-Jun-10","1897.51","1888.57","1900.09","1869.84","0.46%"
"2021-Jun-09","1888.77","1893.49","1899.40","1886.58","-0.21%"
