"Date","Price","Open","High","Low","Change %"
"Oct 23, 2018","75.96","79.75","79.76","75.71","-4.79%"
"Oct 22, 2018","79.78","79.43","79.95","78.65","0.24%"
"Oct 19, 2018","79.59","78.97","80.41","78.79","0.86%"
"Oct 18, 2018","78.91","79.87","80.00","78.38","-1.36%"
"Oct 17, 2018","80.00","81.48","81.58","79.00","-1.72%"
"Oct 16, 2018","81.40","80.71","81.51","79.62","1.01%"
"Oct 15, 2018","80.59","81.55","81.62","79.65","0.39%"
"Oct 12, 2018","80.28","80.06","81.25","79.04","0.25%"
"Oct 11, 2018","80.08","82.35","82.41","79.61","-2.65%"
"Oct 10, 2018","82.26","84.71","84.94","82.11","-2.82%"
"Oct 09, 2018","84.65","83.83","85.22","83.58","1.17%"
"Oct 08, 2018","83.67","83.33","83.85","82.53","-0.29%"
"Oct 05, 2018","83.91","84.80","84.98","83.81","-0.97%"
"Oct 04, 2018","84.73","85.81","86.28","84.03","-1.33%"
"Oct 03, 2018","85.87","84.67","86.62","83.91","1.49%"
"Oct 02, 2018","84.61","84.88","85.27","84.23","-0.35%"
"Oct 01, 2018","84.91","82.96","85.35","82.47","2.54%"
"Sep 28, 2018","82.81","81.38","83.32","81.24","1.81%"
"Sep 27, 2018","81.34","81.20","81.85","80.81","0.25%"
"Sep 26, 2018","81.14","80.88","81.54","80.50","0.28%"
"Sep 25, 2018","80.91","80.65","81.81","80.48","0.17%"
"Sep 24, 2018","80.77","79.35","80.83","79.10","3.29%"
"Sep 21, 2018","78.20","78.22","79.62","77.75","-0.01%"
"Sep 20, 2018","78.21","79.04","79.40","78.13","-1.01%"
"Sep 19, 2018","79.01","78.55","79.10","78.09","0.65%"
"Sep 18, 2018","78.50","77.39","79.33","77.15","1.16%"
"Sep 17, 2018","77.60","77.68","78.56","77.41","-0.27%"
"Sep 14, 2018","77.81","78.19","78.62","77.12","-0.41%"
"Sep 13, 2018","78.13","79.40","79.42","77.63","-1.71%"
"Sep 12, 2018","79.49","79.07","79.85","78.50","0.44%"
"Sep 11, 2018","79.14","77.16","79.28","77.15","2.55%"
"Sep 10, 2018","77.17","77.05","77.76","76.75","0.40%"
"Sep 07, 2018","76.86","76.53","76.95","75.75","0.51%"
"Sep 06, 2018","76.47","76.87","77.63","75.54","-0.73%"
"Sep 05, 2018","77.03","77.78","78.03","76.84","-0.90%"
"Sep 04, 2018","77.73","78.05","79.64","77.41","-0.51%"
"Sep 03, 2018","78.13","77.69","78.40","77.27","0.54%"
"Aug 31, 2018","77.71","77.73","78.19","77.22","-0.06%"
"Aug 30, 2018","77.76","77.63","78.30","77.50","0.10%"
"Aug 29, 2018","77.68","76.43","77.75","76.01","1.88%"
"Aug 28, 2018","76.25","76.64","77.24","76.06","-0.46%"
"Aug 27, 2018","76.60","76.02","76.63","75.69","0.87%"
"Aug 24, 2018","75.94","75.11","76.69","75.02","1.13%"
"Aug 23, 2018","75.09","75.06","75.14","74.54","-0.09%"
"Aug 22, 2018","75.16","73.00","75.25","72.92","2.92%"
"Aug 21, 2018","73.03","72.47","73.19","72.31","0.79%"
"Aug 20, 2018","72.46","71.88","72.91","71.60","0.68%"
"Aug 17, 2018","71.97","71.60","72.68","71.46","0.56%"
"Aug 16, 2018","71.57","70.88","71.71","70.64","0.85%"
"Aug 15, 2018","70.97","72.42","72.65","70.53","-1.96%"
"Aug 14, 2018","72.39","73.01","74.11","72.35","-0.79%"
"Aug 13, 2018","72.97","73.04","73.24","71.20","-0.16%"
"Aug 10, 2018","73.09","72.15","73.28","71.57","1.37%"
"Aug 09, 2018","72.10","72.37","73.02","72.03","-0.40%"
"Aug 08, 2018","72.39","74.74","75.00","71.83","-2.99%"
"Aug 07, 2018","74.62","73.73","75.03","73.69","1.18%"
"Aug 06, 2018","73.75","73.28","74.56","73.27","0.46%"
"Aug 03, 2018","73.41","73.42","73.80","72.56","-0.04%"
"Aug 02, 2018","73.44","72.51","73.78","71.91","1.07%"
"Aug 01, 2018","72.66","74.00","74.11","72.22","-1.94%"
"Jul 31, 2018","74.10","75.53","75.65","73.88","-1.87%"
"Jul 30, 2018","75.51","74.86","75.81","74.66","0.84%"
"Jul 27, 2018","74.88","75.07","75.40","74.37","-0.11%"
"Jul 26, 2018","74.96","74.98","75.30","74.32","0.63%"
"Jul 25, 2018","74.49","74.15","74.69","73.47","0.65%"
"Jul 24, 2018","74.01","73.31","74.34","72.98","1.01%"
"Jul 23, 2018","73.27","73.29","74.59","72.75","0.29%"
"Jul 20, 2018","73.06","72.76","73.51","72.37","0.56%"
"Jul 19, 2018","72.65","72.97","73.81","71.90","-0.60%"
"Jul 18, 2018","73.09","71.81","73.33","71.30","1.91%"
"Jul 17, 2018","71.72","71.97","72.81","71.35","-0.35%"
"Jul 16, 2018","71.97","75.00","75.30","71.53","-3.83%"
"Jul 13, 2018","74.84","74.23","75.87","73.26","0.52%"
"Jul 12, 2018","74.45","73.86","75.06","72.70","0.47%"
"Jul 11, 2018","74.10","78.62","78.62","73.02","-6.10%"
"Jul 10, 2018","78.91","78.19","79.39","78.04","1.02%"
"Jul 09, 2018","78.11","77.00","78.22","76.97","1.36%"
"Jul 06, 2018","77.06","77.53","77.56","76.28","-0.53%"
"Jul 05, 2018","77.47","77.91","78.38","77.23","-0.63%"
"Jul 04, 2018","77.96","77.74","78.12","77.53","0.27%"
"Jul 03, 2018","77.75","77.37","78.44","76.57","0.54%"
"Jul 02, 2018","77.33","78.40","78.88","77.11","-2.32%"
"Jun 29, 2018","79.17","77.48","79.50","77.13","2.23%"
"Jun 28, 2018","77.44","77.25","78.15","77.05","0.32%"
"Jun 27, 2018","77.19","76.41","77.98","76.11","0.99%"
"Jun 26, 2018","76.43","74.66","76.53","73.95","2.27%"
"Jun 25, 2018","74.73","74.06","74.96","73.59","-1.09%"
"Jun 22, 2018","75.55","73.08","75.56","73.08","3.69%"
"Jun 21, 2018","72.86","74.16","74.34","72.74","-1.38%"
"Jun 20, 2018","73.88","74.86","75.44","73.81","-1.02%"
"Jun 19, 2018","74.64","74.94","75.17","74.12","-0.56%"
"Jun 18, 2018","75.06","72.87","75.17","72.22","2.99%"
"Jun 15, 2018","72.88","75.75","75.84","72.84","-3.79%"
"Jun 14, 2018","75.75","76.41","76.72","75.56","-0.77%"
"Jun 13, 2018","76.34","75.26","76.71","75.12","1.31%"
"Jun 12, 2018","75.35","76.37","76.92","75.35","-1.22%"
"Jun 11, 2018","76.28","76.23","76.69","75.42","0.00%"
"Jun 08, 2018","76.28","77.38","77.44","76.02","-1.17%"
